product_id,product_name,category,subcategory,base_cost,current_price,competitor_price,inventory_level,seasonality_factor,true_elasticity,cross_elasticity,base_margin_pct
PRD-E01,Wireless Noise-Canceling Headphones,Electronics,Audio,85.0,149.99,144.99,450,2.44,-1.65,0.55,43.33
PRD-E02,Smart Fitness Watch Pro,Electronics,Wearables,110.0,199.99,194.99,380,1.89,-1.35,0.45,45.0
PRD-E03,4K Ultra HD Action Camera,Electronics,Cameras,140.0,249.99,239.0,220,2.0,-2.15,0.7,44.0
PRD-E04,Bluetooth Portable Speaker,Apparel & Footwear,Audio,26.0,59.99,54.99,600,2.0,-1.8,0.6,56.66
PRD-A01,Ergonomic Performance Hoodie,Apparel & Footwear,Activewear,22.0,64.99,62.0,520,2.83,-1.15,0.35,66.15
PRD-A02,Trail Running Shoes Elite,Apparel & Footwear,Footwear,44.0,119.99,114.99,400,1.87,-1.45,0.5,63.33
PRD-A03,Thermal Compression Leggings,Apparel & Footwear,Activewear,14.0,44.99,47.99,700,2.83,-0.82,0.25,68.88
PRD-A04,Waterproof Windbreaker Jacket,Apparel & Footwear,Outerwear,38.0,94.99,98.0,340,1.93,-1.25,0.4,60.0
PRD-H01,Stainless Steel Damask Chef Knife,Home & Kitchen,Cookware,18.0,49.99,54.99,480,2.18,-0.68,0.2,63.99
PRD-H02,Smart Air Purifier True HEPA,Home & Kitchen,Appliances,75.0,159.99,149.99,280,1.59,-1.55,0.5,53.12
PRD-H03,Barista Touch Espresso Machine,Home & Kitchen,Appliances,160.0,299.99,284.99,160,2.44,-2.45,0.8,46.66
PRD-H04,Non-Stick Ceramic Cookware Set,Home & Kitchen,Cookware,55.0,129.99,124.99,320,2.18,-1.1,0.35,57.69
PRD-B01,Organic Hydrating Face Serum,Health & Beauty,Skincare,8.5,38.0,42.0,950,1.08,-0.48,0.15,77.63
PRD-B02,Advanced Anti-Aging Retinol Cream,Health & Beauty,Skincare,12.0,54.0,58.0,800,1.08,-0.58,0.2,77.78
PRD-B03,Plant-Based Organic Protein 2lb,Health & Beauty,Wellness,16.5,39.99,37.99,550,2.0,-1.3,0.45,58.74
PRD-B04,Professional Ionic Hair Dryer,Health & Beauty,Haircare,34.0,89.99,84.99,310,2.44,-1.4,0.4,62.22
PRD-S01,Adjustable Quick-Select Dumbbells,Sports & Outdoors,Fitness,88.0,199.99,189.99,250,2.0,-1.75,0.6,56.0
PRD-S02,Eco-Grip High-Density Yoga Mat,Sports & Outdoors,Fitness,8.5,29.99,32.99,750,2.0,-0.78,0.22,71.66
PRD-S03,Ultralight 2-Person Backpacking Tent,Sports & Outdoors,Camping,65.0,149.99,139.99,210,2.62,-1.95,0.65,56.66
PRD-S04,Insulated Tactical Hydration Pack,Sports & Outdoors,Camping,19.0,49.99,47.99,460,2.62,-1.15,0.35,61.99
